Voucher No,Invoice Ref,Date,Amount (OMR),Particulars
SAL-00001,TTT/25/070111,2025-05-28,120.000,"Training Need Analysis & Customer Survey"
SAL-00002,TTT/25/070112,2025-08-21,280.000,"Training Need Analysis & Customer Survey"
SAL-00027,TTT/25/070139,2025-11-06,300.000,"Employee Retention & Recognition Plan"
SAL-00024,TTT/25/070136,2025-11-06,510.000,"Marketing Management & Digital Maintenance"
SAL-00026,TTT/25/070138,2025-11-06,340.000,"Employee Retention & Recognition Plan"
SAL-00025,TTT/25/070137,2025-11-06,292.000,"CRM Solutions and WhatsApp Business"
SAL-00029,TTT/25/070141,2025-11-25,130.000,"Marketing Management & Digital Maintenance"
SAL-00031,TTT/25/070145,2025-12-17,510.000,"Marketing Management & Digital Maintenance"
SAL-00033,TTT/25/070147,2025-12-18,620.000,"Marketing Management & Digital Maintenance - Direct Cost"
SAL-00032,TTT/25/070146,2025-12-22,300.000,"Employee Retention & Recognition Plan"
SAL-00042,TTT/25/070157,2026-01-26,300.000,"Employee Retention & Recognition Plan"
SAL-00044,TTT/25/070162,2026-01-26,120.000,"Website Development"
SAL-00041,TTT/25/070156,2026-01-26,510.000,"Marketing Management & Digital Maintenance"
SAL-00045,TTT/25/070163,2026-01-26,249.000,"Branding Kits for Digital Marketing"
SAL-00046,TTT/25/070164,2026-02-09,500.000,"Marketing Management & Digital Maintenance - Direct Cost"
SAL-00051,TTT/25/070169,2026-02-28,253.000,"Marketing Management & Digital Maintenance - Direct Cost"
SAL-00049,TTT/25/070167,2026-02-28,510.000,"Marketing Management & Digital Maintenance"
SAL-00052,TTT/25/070170,2026-02-28,85.000,"Employee Retention & Recognition Plan"
SAL-00050,TTT/25/070168,2026-02-28,300.000,"Employee Retention & Recognition Plan"
SAL-00055,TTT/25/070173,2026-03-28,510.000,"Marketing Management & Digital Maintenance"
SAL-00056,TTT/25/070174,2026-03-28,300.000,"Employee Retention & Recognition Plan"
SAL-00060,TTT/25/070179,2026-04-19,300.000,"Employee Retention & Recognition Plan"
SAL-00059,TTT/25/070178,2026-04-19,510.000,"Marketing Management & Digital Maintenance"
