Sl#,Invoice #,Date,Proposal Ref No,PARTY,Address 1,Address 2,Particulars 1,Amount 1,Qty.,Due Date,Location,VAT,Amount,Particulars 2,Amount 2,VAT Rate2,VAT Amount2,Amount3,Particulars 3,Amount 3,VAT Rate3,VAT Amount22,Amount33,Amount 32,Amount 4,Total Amount,Column1,Remarks,VAT IN Number,Notes
1,TTT/25/070111,28/May/25,May,Al Qurum Perfume,"PO Box 243, PC 114, Ghubra,","Muscat, Sultanate of Oman",Training Need Analysis & Customer Survey,"OMR 1,120.000",1.00,28/May/25,"Muscat, Oman",OMR 0.000,"OMR 1,120.000",,,OMR 0.000,OMR 0.000,OMR 0.000,,,OMR 0.000,OMR 0.000,OMR 0.000,OMR 0.000,,"OMR 1,120.000",,NA,N/A,
2,TTT/25/070112,21/Aug/25,May,Al Qurum Perfume,"PO Box 243, PC 114, Ghubra,","Muscat, Sultanate of Oman",Training Need Analysis & Customer Survey,OMR 280.000,1.00,21/Aug/25,"Muscat, Oman",OMR 0.000,OMR 280.000,,,,,,,,,,,,,,,,,
3,TTT/25/070113,4/Jun/25,June,Samar Alqrm International LLC,"PO Box 243, PC 114, Ghubra,","Muscat, Sultanate of Oman",Multi  Vendor App Development,"OMR 4,614.000",1.00,4/Jun/25,"Muscat, Oman",OMR 0.000,"OMR 4,614.000",,,,,,,,,,,,,,,,,
4,TTT/25/070114,4/Jun/25,June,Samar Alqrm International LLC,"PO Box 243, PC 114, Ghubra,","Muscat, Sultanate of Oman",Multi  Vendor App Development,"OMR 3,076.000",1.00,4/Jun/25,"Muscat, Oman",OMR 0.000,"OMR 3,076.000",,,,,,,,,,,,,,,,,
5,TTT/25/070115,17/Dec/25,December,Samar Alqrm International LLC,"PO Box 243, PC 114, Ghubra,","Muscat, Sultanate of Oman",Multi  Vendor App Development,"OMR 3,845.000",1.00,17/Dec/25,"Muscat, Oman",OMR 0.000,"OMR 3,845.000",,,,,,,,,,,,,,,,,Being Invoiced for 25% – Upon Completion of Development.
6,TTT/25/070116,21/Apr/26,April,Samar Alqrm International LLC,"PO Box 243, PC 114, Ghubra,","Muscat, Sultanate of Oman",Multi  Vendor App Development,"OMR 3,845.000",1.00,21/Apr/26,"Muscat, Oman",OMR 0.000,"OMR 3,845.000",,,,,,,,,,,,,,,,,Being Invoiced for Balancee 25% for final payment.
7,TTT/25/070117,23/Aug/25,TTT/2025/P009,Samar Alqrm International LLC,"PO Box 243, PC 114, Ghubra,","Muscat, Sultanate of Oman",Branding & Digital Transformation Charges,OMR 240.000,1.00,23/Aug/25,"Muscat, Oman",OMR 0.000,OMR 240.000,,,,,,,,,,,,,,,,,
8,TTT/25/070118,28/Aug/25,August,Fortune Technology Solutions LLC,"Gulf Energy Building, 2nd Floor, Way No. 5001, Building No. 21,"," P.O. Box - 245, P.C 131, Muscat, Sultanate of Oman",Visitor Management System,OMR 675.000,4.00,28/Aug/25,"Muscat, Oman",OMR 0.000,OMR 675.000,,,,,,,,,,,,,,,,,
9,TTT/25/070119,2/Sep/25,Sept.,Capital Cloud Trading,"Maha Road, Al Khuwair,","Muscat, Sultanate of Oman",Electronic ticketing system ERP and the company's physical website,OMR 100.000,  1.000 ,2/Sep/25,"Muscat, Oman",OMR 0.000,OMR 100.000,,,,,,,,,,,,,,,,,
10,TTT/25/070120,2/Sep/25,Sept.,Capital Cloud Trading,"Maha Road, Al Khuwair,","Muscat, Sultanate of Oman",Electronic ticketing system ERP and the company's physical website,OMR 95.000,  1.000 ,2/Sep/25,"Muscat, Oman",OMR 0.000,OMR 95.000,,,,,,,,,,,,,,,,,
