Laila's exceptional projects (TROXY)	HR Policy & Attandence Tracking (200+100)	  300.00 	  300.00 	  300.00 	  -   
Laila's exceptional projects (TROXY)	POS Configuration, Set-Up & Training	  120.00 	  120.00 	  120.00 	  -   
Laila's exceptional projects (TROXY)	Google My Business Configuration & Set-Up	  50.00 	  50.00 	  50.00 	  -   
Laila's exceptional projects (TROXY)	LAN & IP Configuration and Set-Up, 1 NFC (18.5+50+2.5+7)	  78.00 	  78.00 	  78.00 	  -   
Laila's exceptional projects (TROXY)	POS Monthly Subsc. For JAN 2026	  45.00 	  45.00 	  45.00 	  -   
Laila's exceptional projects (TROXY)	HR Recruitment (Kaium, Lucky, Rasel, Jeewan)	  640.00 	  640.00 	  640.00 	  -   
Laila's exceptional projects (TROXY)	WhatsApp Business Configuration & Set-Up	  -   	  -   	  -   	  -   
Laila's exceptional projects (TROXY)	HR Recruitment (Mukarram)	  160.00 	  160.00 		  160.00 
Laila's exceptional projects (TROXY)	Training & Development for Nov 2025	  150.00 	  150.00 	  150.00 	  -   
Laila's exceptional projects (TROXY)	Training & Development for Dec 2025	  150.00 	  150.00 	  120.00 	  30.00 
Laila's exceptional projects (TROXY)	Training & Development for Jan 2026	  150.00 	  150.00 		  150.00 
Laila's exceptional projects (TROXY)	POS Monthly Subs. for FEB 2026	  45.00 	  45.00 		  45.00 
Laila's exceptional projects (TROXY)	POS Monthly Subs. for MAR 2026	  45.00 	  45.00 		  45.00 
Laila's exceptional projects (TROXY)	POS Monthly Subs. for APR 2026	  45.00 	  45.00 		  45.00 
Al Harasi Ropes Factory	Website Development	  426.00 	  298.00 	  298.00 	  128.00 
Capital Cloud	Odoo ERP Implimentation	  395.00 	  395.00 	  295.00 	  100.00 
Yalla Pass	WABA	  323.00 	  323.00 	  323.00 	  -   
Yalla Pass	Mobile and Web Application	  8,935.00 	  8,935.00 	  8,935.00 	  -   
TheHub & Hurmuz	Sales Forecast & Projection	  45.00 	  45.00 	  45.00 	  -   
Oud Al Kabir	Website Development	  524.00 	  524.00 	  524.00 	  -   
Fortune Oman	Visitor Management System	  2,700.00 	  2,025.00 	  2,025.00 	  675.00 
Samar Alqrm International LLC (ATUR)	Mobile and Web Application	  15,380.00 	  15,380.00 	  15,380.00 	  -   
